Id_estacio;Nom_Est;Longitud_geo;Latitud_geo;alt_est;ET_mmy;Porc_datos;Celda_XY;Cant_Est;departamento;municipio;AH;ZSZH;vereda;SUBREGION;depto_region
26180160;ABEJORRAL [26180160];-75,43041855;5,78597487;2164;1034;96;(3-6);20;Antioquia;Abejorral;MagdalenaCauca;RioArma;;Oriente;Antioquia - Oriente
16050140;JURISDICCIONES [16050140];-73,23333124;7,850003294;3102;857;7;(8-11);5;NortedeSantander;Abrego;MagdalenaCauca;RioLebrijayotrosdirectosalMagdalena;BRISAS DEL PARAMO;;NortedeSantander - 
11110020;ABRIAQUI [11110020];-76,07500241;6,642496664;1872;1096;89;(5-5);18;Antioquia;Abriaqui;Caribe;DarienRioSucio;LAS JUNTAS;Occidente;Antioquia - Occidente
11150030;ACANDI [11150030];-77,27694647;8,530831613;163;1543;77;(10-2);2;Choco;Acandi;Caribe;DarienRioToloyotrosDirectosalCaribe;;;Choco - 
11155010;PLAYA LA [11155010];-77,28332956;8,533333081;97;1564;10;(10-2);2;Choco;Acandi;Caribe;DarienRioToloyotrosDirectosalCaribe;SIN DEFINIR;;Choco - 
25020030;GUACAMAYO [25020030];-74,51222224;8,727218878;21;1588;97;(10-8);14;Bolivar;Achi;MagdalenaCauca;CaucaSanJorgeLaMojana;GUACAMAYO;;Bolivar - 
25020350;GUARANDA [25020350];-74,54166688;8,492779313;23;1587;97;(9-8);16;Bolivar;Achi;MagdalenaCauca;CaucaSanJorgeLaMojana;BUENAVISTA;;Bolivar - 
25020800;BUENAVISTA [25020800];-74,52971999;8,573053879;16;1589;81;(10-8);14;Bolivar;Achi;MagdalenaCauca;DirectosBajoCaucaCgaLaRayaentreRioNechi;BUENAVISTA;;Bolivar - 
25025130;VICTORIA LA [25025130];-74,73333097;8,333333488;21;1588;1;(9-8);16;Bolivar;Achi;MagdalenaCauca;CaucaSanJorgeLaMojana;VILLA NUEVA;;Bolivar - 
23190710;BARRANCA LEBRIJA [23190710];-73,72444447;8,011837759;40;1582;72;(8-10);4;Cesar;Aguachica;MagdalenaCauca;RioLebrijayotrosdirectosalMagdalena;BADILLO;;Cesar - 
26160160;MARIA LA [26160160];-75,57749628;5,58749923;645;1402;99;(3-6);20;Caldas;Aguadas;MagdalenaCauca;RioFRioyOtrosDirectosalCauca;LA MARIA;;Caldas - 
26180130;PINTADA LA [26180130];-75,59999841;5,749999718;683;1391;2;(3-6);20;Caldas;Aguadas;MagdalenaCauca;DirectosRioCaucaentreRioSanJuanyPtoValdivia;LA PINTADA;SUROESTE;Caldas - Suroeste
26180190;AGUADAS [26180190];-75,45119801;5,600029825;2181;1031;96;(3-6);20;Caldas;Aguadas;MagdalenaCauca;RioTapiasyotrosdirectosalCauca;LA BLANQUITA;;Caldas - 
26180240;PAVAS LAS [26180240];-75,39288745;5,52219082;2767;917;50;(3-6);20;Caldas;Aguadas;MagdalenaCauca;RioArma;SANTA ROSA;;Caldas - 
26185010;PELADA LA [26185010];-75,34477656;5,578754297;2193;1028;49;(3-6);20;Caldas;Aguadas;MagdalenaCauca;RioArma;PUENTE PIEDRA;;Caldas - 
23120100;ALBANIA [23120100];-73,91666691;5,783330023;2106;1046;10;(3-9);15;Santander;Albania;MagdalenaCauca;RioCarare(Minero);HONDA;;Santander - 
23125060;ALBANIA [23125060];-73,91332917;5,75833334;1636;1149;84;(3-9);15;Santander;Albania;MagdalenaCauca;RioCarare(Minero);;;Santander - 
26120150;ALCALA [26120150];-75,78630448;4,676473577;1236;1245;93;(1-5);14;ValledelCauca;Alcala;MagdalenaCauca;RioLaVieja;;;ValledelCauca - 
23080680;ALEJANDRIA [23080680];-75,14999618;6,383336704;1742;1125;29;(5-7);20;Antioquia;Alejandria;MagdalenaCauca;RioNare;FATIMA;Oriente;Antioquia - Oriente
23080940;PRESA SAN LORENZO [23080940];-74,99677802;6,384586819;1246;1243;46;(5-7);20;Antioquia;Alejandria;MagdalenaCauca;RioNare;EL CERRO;Oriente;Antioquia - Oriente
23080950;VIENTO EL [23080950];-75,10000095;6,400002836;1493;1183;20;(5-7);20;Antioquia;Alejandria;MagdalenaCauca;RioNare;SAN LUIS;Nordeste;Antioquia - Nordeste
